,UserID,DateTime,SessionID,ProblemID,StepID,Owner,DialogueAct,DialogueActConfidence,Spoke,StepAnswer,ClickStep,NicoMovement,Answered,Transcript
0,200717-1,7/20/17 16:45,1,1,0,user,,50,0,1,null,,,Triggered Speech 1
1,200717-1,7/20/17 16:45,1,1,0,nico,,,,,,1,no answer,Why aren't you talking to me? Are you thinking?
2,200717-1,7/20/17 16:45,1,1,0,user,,50,0,1,problem start,,,problem start
3,200717-1,7/20/17 16:45,1,1,0,nico,,,,,,1,no answer,"I really want to go swimming with my friends, but I need to put some waterproof paint on first. I need help figuring out how much paint to put on my legs and torso. Can you give me a hint for how to figure out the first part, STEP ONE?"
4,200717-1,7/20/17 16:47,1,1,0,user,,50,0,1,problem start,,,problem start
5,200717-1,7/20/17 16:47,1,1,0,nico,,,,,,1,no answer,"I really want to go swimming with my friends, but I need to put some waterproof paint on first. I need help figuring out how much paint to put on my legs and torso. Can you give me a hint for how to figure out the first part, STEP ONE?"
6,200717-1,7/20/17 16:48,1,1,1,user,statement,50,1,1,none,,,hi Nico
7,200717-1,7/20/17 16:48,1,1,1,nico,,,,,,1,no answer,So I'm actually not sure what you mean. Can you tell me again?
8,200717-1,7/20/17 16:48,1,1,1,user,statement,50,1,1,none,,,hello
9,200717-1,7/20/17 16:48,1,1,1,nico,,,,,,1,no answer,That's very interesting. Can you explain that more?
10,200717-1,7/20/17 16:49,1,1,1,user,statement,50,1,1,none,,,the body part of the legs in the service area is 12
11,200717-1,7/20/17 16:49,1,1,1,nico,,,,,,1,no answer,I may be a robot but I do try hard. Can you explain more?
12,200717-1,7/20/17 16:50,1,1,1,user,statement,50,1,1,none,,,do you want to
13,200717-1,7/20/17 16:50,1,1,1,nico,,,,,,1,no answer,So I'm actually not sure what you mean. Can you tell me again?
14,200717-1,7/20/17 16:50,1,1,2,user,,50,0,1,step_1_2,,,
15,200717-1,7/20/17 16:50,1,1,2,nico,,,,,,1,no answer,Can you give me a hint for STEP TWO?
16,200717-1,7/20/17 16:52,1,1,2,user,statement,50,1,1,none,,,what goes below the 2 in step 1
17,200717-1,7/20/17 16:52,1,1,2,nico,,,,,,1,no answer,What do we do with the number TWO?
18,200717-1,7/20/17 16:53,1,1,2,user,statement,50,1,1,none,,,what would be higher than 2 in below 6
19,200717-1,7/20/17 16:53,1,1,2,nico,,,,,,1,no answer,What do we do with the number TWO?
20,200717-1,7/20/17 16:53,1,1,2,user,statement,50,1,1,none,,,you add up
21,200717-1,7/20/17 16:53,1,1,2,nico,,,,,,1,no answer,Oh okay. So that's what we do with the two and then what do we do?
22,200717-1,7/20/17 16:54,1,1,2,user,statement,50,1,1,none,,,you add up to and you'll get the answer
23,200717-1,7/20/17 16:54,1,1,2,nico,,,,,,1,no answer,I think the answer is eighteen. So is the answer eighteen?
24,200717-1,7/20/17 16:54,1,1,1,user,,50,0,1,step_2_1,,,
25,200717-1,7/20/17 16:54,1,1,1,nico,,,,,,1,no answer,So I will put the answer is eighteen.
26,200717-1,7/20/17 16:55,1,1,1,user,statement,50,1,1,none,,,add up the number to from step step zero and you'll get your answer
27,200717-1,7/20/17 16:55,1,1,1,nico,,,,,,1,no answer,So is the answer eighteen?
28,200717-1,7/20/17 16:55,1,1,1,user,statement,50,1,1,none,,,no
29,200717-1,7/20/17 16:55,1,1,1,nico,,,,,,1,answering,So I will put the answer is eighteen.
30,200717-1,7/20/17 16:55,1,1,2,user,,50,0,33,step_1_2,,,
31,200717-1,7/20/17 16:55,1,1,2,nico,,,,,,1,no answer,Can you give me a hint on STEP TWO?
32,200717-1,7/20/17 16:55,1,2,2,user,,50,0,33,problem_1_2,,,
33,200717-1,7/20/17 16:55,1,2,2,nico,,,,,,1,no answer,So I think it is not enough to just go in up to my hips. Can you help me figure out what waterproof paint I need to cover my arms and head too? I'm looking at STEP ONE OF THIS SECOND PROBLEM and I'm not sure what to do.
